context,from,to,weight
elf-day,susidemi93,priyankachopra,1
dementia-action-week-2018,otbcnmtd,TrustCareAgency,2
16-days-of-action-2018,miqdaad,MuslimWomenUK,2
mental-health-awareness-week-2018,roxo_estrela,AnneMarie,2
nutrition-and-hydration-week-2018,helshow1,eg_nurse,2
elf-day,done4usocialmed,HFRSolutionsCIC,2
elf-day,bebadass12,nickjonas,1
brain-awareness-week-2018,robinmartinpc,Baycrest,4
rare-disease-day-2018,nataliejharp,POTUS,1
time-to-talk-day-2018,rats_inthepark,linda_phoenix,2
dementia-action-week-2018,stepin2nature,Nat_Choices,2
16-days-of-action-2018,planindonesia,PlanGlobal,2
ocd-awareness-week-2018,mohosms,lwbean,2
cervical-cancer-prevention-week-2018,bcmhouston,bcmhouston,1
elf-day,bckuk,alzheimerssoc,1
stress-awareness-day,sameeeeraaaa98,GatewayUoS,2
national-dementia-carers-2018,ralphnmartins1,alzheimerssoc,2
ocd-awareness-week-2018,zoozleplug,lwbean,2
ovarian-cancer-awareness-month-2018,laurentayloraje,FelicityBarrTV,2
experience-of-care-week-2018,pattimartinlr,maryeaitken,1
carers-week-2018,johnwalsh88,NottsHealthcare,3
mens-health-week-2018,bekx11,Mick_Finnegan,2
ocd-awareness-week-2018,s831,lwbean,2
mens-health-week-2018,lafg46,HealthCareVoter,2
brain-injury-week-2018,peterafreeman,HyphenLaw,2
eating-disorder-awareness-week-2018,gemmma_nicole_,beatED,1
brain-injury-week-2018,bodagallon,yvohastings,1
carers-week-2018,awktort,Familywork123,2
ocd-awareness-week-2018,sojogoes,lwbean,2
ovarian-cancer-awareness-month-2018,sunshine48631,SpectrumHealth,1
elf-day,rchhomes,alzheimerssoc,2
epilepsy-awareness-purple-day-2018,1proudcdn,OntarioNDP,2
mnd-awareness-month-2018,tvvictoriag,BBCSpotlight,1
no-smoking-day-2018,carmencitatw,Provide_CIC,2
wear-purple-for-jia-2018,mhysa23,Ed_Miliband,2
brain-injury-week-2018,engcountrylife,TheFloofLady,2
dementia-action-week-2018,sloughlibraries,SloughCouncil,2
ovarian-cancer-awareness-month-2018,lildesertapt,wrappedupnu,2
mnd-awareness-month-2018,kristind488,DrNikSharma,1
mnd-awareness-month-2018,rozmalcolm,MNDScotland,1
carers-week-2018,angelak11635746,ChrisRDavison,1
elf-day,absummuggle,nickjonas,1
epilepsy-awareness-purple-day-2018,ange_j_30,gblagden,2
time-to-talk-day-2018,danskinnerart,The_UnSilent_,2
elf-day,kathrynbriggs7,alzheimerssoc,1
nutrition-and-hydration-week-2018,jobe40,Rich_Crompton,2
epilepsy-awareness-purple-day-2018,,jackietrad,2
jeans-for-genes-day,irishoran__,MrsAnneTwist,2
mens-health-week-2018,gabzcurtis,UNDEREXPOSEDthr,2
16-days-of-action-2018,siobhra,GlobalWS_NUIG,3
mens-health-week-2018,greatnptweets,SU2C,2
16-days-of-action-2018,mmharrison2014,antonioguterres,2
time-to-talk-day-2018,mclaren_history,McLarenHSPE,2
stress-awareness-day,bccreations1,dkbooks,2
16-days-of-action-2018,becauseimamanzw,UNFPA_Zimbabwe,4
time-to-talk-day-2018,eef5sos,TimetoChange,2
cervical-cancer-prevention-week-2018,acs_illinois,ACS_California,2
eating-disorder-awareness-week-2018,smalley_d,normanlamb,2
wear-purple-for-jia-2018,matt_nras,NRAS_UK,1
wear-purple-for-jia-2018,welly564,ArthritisRUK,1
experience-of-care-week-2018,merrilyn_walton,NSWCEC,2
stress-awareness-day,tracieedward,WHSCtraining,2
dementia-action-week-2018,shoutprsh,FremantleTrust,2
ovarian-cancer-awareness-month-2018,matisoosmith,GeneticsOtago,2
wear-purple-for-jia-2018,welly564,Anne_NRAS,2
carers-week-2018,annakennedy1,yorkiepuddings,2
brain-awareness-week-2018,amyreid87,Jesse_Johnston,1
ocd-awareness-week-2018,princeofviverna,lwbean,2
nutrition-and-hydration-week-2018,jolois99,mftchiefnurse,1
rare-disease-day-2018,edicogenome,MCRI_for_kids,1
carers-week-2018,marie_mndani,mndassoc,2
national-dementia-carers-2018,patientsassoc,CareQualityComm,2
epilepsy-awareness-purple-day-2018,stardust1006,MentorSkywalker,1
brain-awareness-week-2018,dechevarria_aza,NeuroAlc,1
no-smoking-day-2018,turningpointuk,KICK_IT_NOW,1
nutrition-and-hydration-week-2018,mynameisandyj,BDA_Dietitians,1
mnd-awareness-month-2018,bombshells202a,TVVictoriaG,2
nutrition-and-hydration-week-2018,jolois99,MelanieDyson,1
ovarian-cancer-awareness-month-2018,idickson258,TargetOvarian,2
brain-awareness-week-2018,dana_fdn,Neurotweeps,2
dementia-action-week-2018,sphenefan,TitaniumTester,2
brain-injury-week-2018,atttweet,jessicaegan13,2
cervical-cancer-prevention-week-2018,miss_sue22,StopHPVCancer,1
dementia-action-week-2018,donnagreenssj,TheMemoryBP,2
rare-disease-day-2018,niksnook57,gracescience,1
mens-health-week-2018,mayosport1,GetIreWalking,1
stress-awareness-day,joyfulng,Kerrie72Kr,2
epilepsy-awareness-purple-day-2018,mbepilepsy,IrishLife,1
time-to-talk-day-2018,pitcher_lise,juliaq12345,2
no-smoking-day-2018,breathe2025,ASH_LDN,2
national-dementia-carers-2018,jenbradley10,alzheimerssoc,2
experience-of-care-week-2018,vasey_sue,Herrings18,2
carers-week-2018,happylittlehugh,Carer49,2
wear-purple-for-jia-2018,ailsabosworth1,Ed_Miliband,2
brain-awareness-week-2018,dana_fdn,stlukes,1
experience-of-care-week-2018,roylilley,GilbMiriam,1
stress-awareness-day,daphnevlake,MindCharity,2
mens-health-week-2018,outreachsab,CMHA_AB,2
eating-disorder-awareness-week-2018,hannah_w_vlogs,CPrice2184,2
carers-week-2018,wearemanynomos,AWOCUK,4
dementia-action-week-2018,blaenauffestnow,CNCHinkleyPoint,2
ocd-awareness-week-2018,abctnow,drjedsiev,2
stress-awareness-day,trickyd90556041,Pinkribbonmark2,2
brain-awareness-week-2018,cshsurrey,mssocietyuk,2
time-to-talk-day-2018,wakeuptosuicide,mitchfaefife,1
carers-week-2018,mduk_jackiem,Sibs_uk,2
mens-health-week-2018,abbottnews,AbbottGlobal,2
eating-disorder-awareness-week-2018,ms_silvs,PennyRed,2
national-dyslexia-week-2018,panamadip,SchoolsWeek,1
elf-day,shaypclove,nickjonas,1
national-dyslexia-week-2018,citywebconsults,Jisc,2
nutrition-and-hydration-week-2018,mynameisandyj,DerbyUrgentCare,2
time-to-talk-day-2018,felixthecat67,FreshPlusGroup,2
brain-injury-week-2018,lblawpi,Headwayshrop,3
ovarian-cancer-awareness-month-2018,smallb62,TargetOvarian,2
wear-purple-for-jia-2018,bexily,ArthritisRUK,1
rare-disease-day-2018,isellevr,vaneun,2
mnd-awareness-month-2018,sproz21,chelseadee6,1
rare-disease-day-2018,sadipt01,medfetalBCN_ID,2
jeans-for-genes-day,tlg527,jeans_for_genes,1
16-days-of-action-2018,sarahro32309100,ADCAshfield,1
ovarian-cancer-awareness-month-2018,toastycritic,SBellasWays,2
nutrition-and-hydration-week-2018,rbiltcliffe,Laurenpfister6,2
ocd-awareness-week-2018,drjennyyip,PureODoesntShow,2
elf-day,pcspepperoni,PCsDRAG0N,2
national-dyslexia-week-2018,citywebconsults,alistairm,1
national-dyslexia-week-2018,sunnyside_judy,dyslexiauk,2
eating-disorder-awareness-week-2018,saphnasharonobe,NWBoroughsNHS,2
rare-disease-day-2018,sherrytreichel,CTVMorningWPG,1
elf-day,alzsoceanglia,wjaldiss,1
wear-purple-for-jia-2018,ruthwyllie1,JIA_Matters,1
eating-disorder-awareness-week-2018,fletcher_nathan,elliesmiith_,2
jeans-for-genes-day,preet_aggerwall,CentreoftheCell,2
wear-purple-for-jia-2018,elenanikiuk,AnnaBosworth,2
jeans-for-genes-day,x_ney_x,JeansforGenes,1
elf-day,alzsocemidlands,Boston_SWA,1
epilepsy-awareness-purple-day-2018,stardust1006,mrjafri,1
ocd-awareness-week-2018,normalg_rl,lwbean,2
mens-health-week-2018,frandathomas,HIPSTL,2
national-dyslexia-week-2018,jamiehawkins17,ColegSirGar,2
stress-awareness-day,lynne_mount,OneMinuteBriefs,1
wear-purple-for-jia-2018,diederikdecock,KearsleyFleet,1
16-days-of-action-2018,nigawd,AbimbolaKings,1
16-days-of-action-2018,lschwilling,umcjustice,2
time-to-talk-day-2018,ntuyoufirstss,samsmith,1
dementia-action-week-2018,anthonylemog,cambridge105,1
brain-awareness-week-2018,zupan_barbra,osla_ontario,2
mnd-awareness-month-2018,gemma__collins,Mrtompayne,2
time-to-talk-day-2018,philipdhume,thelaceylondon,1
time-to-talk-day-2018,fullcircle_play,HiddenTheatreCo,1
wear-purple-for-jia-2018,cheralynbeeston,walloyd,2
rare-disease-day-2018,mediajernyc,ChelseaClinton,2
time-to-talk-day-2018,heleny50,fishers2011,2
time-to-talk-day-2018,katiaessery,FreshPlusGroup,2
elf-day,mehgnamathur,PCsDRAG0N,2
epilepsy-awareness-purple-day-2018,neuroethicsau,Aust_Parliament,1
cervical-cancer-prevention-week-2018,1cervical,JoTrust,2
elf-day,j0dean,spirehartswood,2
cervical-cancer-prevention-week-2018,lindahalsey2,CDC_Cancer,4
elf-day,pranav1490,priyankachopra,1
time-to-talk-day-2018,teresashirl,stephenfry,2
mnd-awareness-month-2018,chrissy2k2,hullnhschoir,2
dementia-action-week-2018,jntrichards,CareRooms,2
brain-awareness-week-2018,debrabamidele,HydroAssoc,2
elf-day,jeanarched,thesovrangroup,2
mental-health-awareness-week-2018,1of2vics,MDSantopietro,1
mnd-awareness-month-2018,jodarby1956,Vicky_100K4MNDA,2
16-days-of-action-2018,nirwind,MemoCorrales,1
mens-health-week-2018,pestcontrol_epc,killianbyrne,2
ovarian-cancer-awareness-month-2018,ninanannaritv,FelicityBarrTV,2
mens-health-week-2018,howmanymiles_,Mens10k,1
ocd-awareness-week-2018,whatisadoula,lwbean,2
epilepsy-awareness-purple-day-2018,ncrealtime,TownofGarner,1
ocd-awareness-week-2018,sylentbutdedly,lwbean,2
dry-january-2018,mamagill67,SeedlipDrinks,1
brain-injury-week-2018,coolredmac,ColesMillerLLP,2
wear-purple-for-jia-2018,drdrsagar,VersusArthritis,1
jeans-for-genes-day,cristhel_monet,MrsAnneTwist,2
rare-disease-day-2018,a3auntie,TheGoldWaterUS,2
nutrition-and-hydration-week-2018,jennidomandoman,MichThePT,1
dementia-action-week-2018,tommytommytee18,mason4233,1
dementia-action-week-2018,mikecounsellor,nuclearpolice,1
16-days-of-action-2018,iipz8,UN_Women,2
no-smoking-day-2018,outlandbotanist,Rachael_Stray,2
brain-awareness-week-2018,deb22_,HydroAssoc,2
nutrition-and-hydration-week-2018,mynameisandyj,Southern_NHSFT,1
stress-awareness-day,pjniska,TerriIrwin,2
time-to-talk-day-2018,matronlindy,reliefofanxiety,2
eating-disorder-awareness-week-2018,sassvh,Spikeontour,1
brain-injury-week-2018,coolredmac,Dorset_Hour,1
mental-health-awareness-week-2018,creative_nobody,VoicelessAddict,2
cervical-cancer-prevention-week-2018,pussinpjs1,samyarwood89,2
dementia-action-week-2018,ulf_fenisc,WHO,1
stress-awareness-day,blazenean,CrisisTextLine,2
ovarian-cancer-awareness-month-2018,fertilitypoddy,StylistMagazine,2
brain-injury-week-2018,jonathanclemen3,asblawuk,2
stress-awareness-day,pjniska,AustraliaZoo,1
brain-awareness-week-2018,asamiaomame,stlukes,1
nutrition-and-hydration-week-2018,mynameisandyj,2getherTrust,1
dry-january-2018,annalb83,ChocTradingCo,2
elf-day,niclong87,Glanvilles,2
cervical-cancer-prevention-week-2018,bengnonny,dokilink,2
brain-injury-week-2018,jenny__brooks,UKABIF,2
carers-week-2018,angelak11635746,DJohnsonMSP,1
cervical-cancer-prevention-week-2018,manda10110,JoTrust,1
epilepsy-awareness-purple-day-2018,jamesjimmy_h,_JRWitt,1
jeans-for-genes-day,aga_082102,MrsAnneTwist,2
mnd-awareness-month-2018,plymcruise,MNDeventsPlym,2
carers-week-2018,james20327963,theSNP,2
time-to-talk-day-2018,jessroyle90,Water_Rats,1
dry-january-2018,charlottea_pr,infoaji,1
jeans-for-genes-day,pinklizzie_84,MrsAnneTwist,2
eating-disorder-awareness-week-2018,ruthkettle1,beatED,2
epilepsy-awareness-purple-day-2018,hoarsesociety,GuildfordBard,2
national-dementia-carers-2018,isobelmann_,alzheimerssoc,2
no-smoking-day-2018,sandrapycock,CFHS_Surrey,1
brain-injury-week-2018,headway_dundee,MikeKempLaw,2
elf-day,pc_vd_deewani,priyankachopra,1
wear-purple-for-jia-2018,arthritisbham,ArthritisRUK,1
experience-of-care-week-2018,vanburennikki,NiswongerCHosp,2
ocd-awareness-week-2018,malykhlg,lwbean,2
brain-awareness-week-2018,graficamedicina,AngelicaShaps,2
experience-of-care-week-2018,wkayle2014,VCHResearch,2
mnd-awareness-month-2018,bptheyounger,alex_morty,2
elf-day,ccms_psp,LingleAveElem,2
brain-injury-week-2018,issablom,_JCBFM,1
brain-awareness-week-2018,mindlessdroid,MichaelJFoxOrg,2
wear-purple-for-jia-2018,ianmwelsh,ArthritisRUK,1
time-to-talk-day-2018,onevoice1111,The_UnSilent_,2
elf-day,alzsocswengland,SharParsons,2
no-smoking-day-2018,roseobyrne3,PHE_uk,1
brain-awareness-week-2018,zinniasun,Psych_Review,2
time-to-talk-day-2018,8belmo_,ZoeSugg,1
ovarian-cancer-awareness-month-2018,sunshine48631,shakeyourtealf1,1
brain-awareness-week-2018,anafloriani69,CAUK1,1
mnd-awareness-month-2018,83pamk,Vicky_100K4MNDA,2
nutrition-and-hydration-week-2018,mpmok,LeedsHospitals,1
dementia-action-week-2018,colnbrookca,SloughCouncil,2
elf-day,mgalasiak,alzheimerssoc,2
nutrition-and-hydration-week-2018,janehatkins,Joannegough6,2
nutrition-and-hydration-week-2018,mynameisandyj,cygnethealth,2
mnd-awareness-month-2018,dyke_yaxley,Vicky_100K4MNDA,2
brain-injury-week-2018,colesmillerllp,Dorset_Hour,1
nutrition-and-hydration-week-2018,mynameisandyj,CarersUK,3
national-dementia-carers-2018,nialiversuch,alzheimerssoc,2
carers-week-2018,ysmadvocacy,willcase100,1
brain-injury-week-2018,cbitlisa,ColesMillerLLP,2
carers-week-2018,annathame,scotgov,1
epilepsy-awareness-purple-day-2018,jamesjimmy_h,AnKarpo,2
elf-day,ulsu_welfare,AlzheimersLincs,2
carers-week-2018,redemsong,Redemsong,1
dry-january-2018,northbourne10,31DOVER,2
rare-disease-day-2018,beachydreamer,ChronicPainDad,2
nutrition-and-hydration-week-2018,mynameisandyj,kateamy72,1
wear-purple-for-jia-2018,mredwardsfehs,FraminghamEarl,1
nutrition-and-hydration-week-2018,mynameisandyj,eg_nurse,2
mens-health-week-2018,valturner11,MensHealthForum,2
jeans-for-genes-day,curly_cat94,JeansforGenes,1
epilepsy-awareness-purple-day-2018,mgmpresents,gblagden,2
epilepsy-awareness-purple-day-2018,ehu_cypf,MagicalStoryJar,2
mens-health-week-2018,coolmentoring,IVFKentucky,1
cervical-cancer-prevention-week-2018,bcmhouston_news,bcmhouston,1
stress-awareness-day,lillly3004,natlibscot,2
jeans-for-genes-day,laura_lilley25,Hill_Group_UK,2
brain-injury-week-2018,soulindivision2,Issa_Blom,1
wear-purple-for-jia-2018,cherington_hr,Ed_Miliband,2
jeans-for-genes-day,ro_came_2_play,MrsAnneTwist,2
nutrition-and-hydration-week-2018,gillianlowrey,derbyhospitals,1
brain-awareness-week-2018,jaydenswiz,brianmaycom,2
eating-disorder-awareness-week-2018,headstartkernow,AFNCCF,1
stress-awareness-day,ms_raile,CrisisTextLine,2
elf-day,delaina55,PleasantRunElem,1
time-to-talk-day-2018,carpe_diem_5408,FreshPlusGroup,2
epilepsy-awareness-purple-day-2018,doxeymoron,kevinkays,2
mnd-awareness-month-2018,chrikes,hullnhschoir,2
ovarian-cancer-awareness-month-2018,realsarahgreene,TargetOvarian,2
mens-health-week-2018,coolmentoring,Mens10k,1
ocd-awareness-week-2018,lovelydarknight,lwbean,2
cervical-cancer-prevention-week-2018,tyranecole,CDC_Cancer,2
16-days-of-action-2018,alirezakhosh275,Ali1347Masod,2
brain-injury-week-2018,headwaywearside,UKABIF,2
mnd-awareness-month-2018,leelou218,hullnhschoir,2
brain-injury-week-2018,wafefc,cbituk,1
epilepsy-awareness-purple-day-2018,atiqah_rani,gblagden,1
no-smoking-day-2018,nchh,hud,1
cervical-cancer-prevention-week-2018,sekretapproved,RyR_Empire,4
time-to-talk-day-2018,pitcher_lise,NHSEngland,1
stress-awareness-day,eibhin,natlibscot,2
eating-disorder-awareness-week-2018,delilahveronese,Refinery29UK,2
brain-injury-week-2018,stevedavid845,SjMasters1,2
wear-purple-for-jia-2018,emjreviews,VersusArthritis,1
epilepsy-awareness-purple-day-2018,ainomeaiaisakaz,Space_Station,1
epilepsy-awareness-purple-day-2018,epilepsy_durham,AydinJEL,2
rare-disease-day-2018,ch_litos,NoInvisibles,2
elf-day,cutepcmaniac,nickjonas,1
brain-injury-week-2018,henleyherald,HeadwayThamesV,1
brain-awareness-week-2018,anafloriani69,brianmaycom,2
national-dementia-carers-2018,suzanneshoker1,alzheimerssoc,2
brain-awareness-week-2018,smousali1974,FrontNeurosci,1
time-to-talk-day-2018,carmel_ic71,heads_together,2
no-smoking-day-2018,ic_uhi,NHSHighland,1
rare-disease-day-2018,paulgmcnamara,AddisonsUK,3
dry-january-2018,ciarangearoid,leinsterrugby,1
ocd-awareness-week-2018,drjennyyip,RenewedFreedom,1
epilepsy-awareness-purple-day-2018,maryhillberry,hsnyderLP,2
jeans-for-genes-day,harrysmedicin_e,JeansforGenes,1
dementia-action-week-2018,stepin2nature,DWTWeyPort,1
16-days-of-action-2018,pippaliciousj,DevonCC,2
cervical-cancer-prevention-week-2018,uofuhealth,sarasalmon_utah,1
wear-purple-for-jia-2018,taxbuzzuk,JIA_Matters,1
dementia-action-week-2018,tobaccofree254,EustacedeSousa,2
dementia-action-week-2018,aminulacj,ESRC,2
elf-day,williamsgwynfa,thesovrangroup,2
ocd-awareness-week-2018,ziggbot,lwbean,2
16-days-of-action-2018,6wdgaaeiv4hypsv,UNFPA,1
mens-health-week-2018,rendezvousenny,LindaHobden,1
eating-disorder-awareness-week-2018,stridedoc,UniOfYork,1
ocd-awareness-week-2018,sinningroach,lwbean,2
time-to-talk-day-2018,lightninglariat,TheSportsman,2
elf-day,ckitchensdevon,CreditonChamber,2
mens-health-week-2018,hipollyti,mhall55nine,2
dementia-action-week-2018,smay54may,createdhub,2
epilepsy-awareness-purple-day-2018,lapointelinda,karenmccrimmon,2
jeans-for-genes-day,hestylemedicine,JeansforGenes,1
mental-health-awareness-week-2018,taleebomari,OKUNTAKINTE,2
cervical-cancer-prevention-week-2018,stophpvcancer,StopHPVCancer,1
time-to-talk-day-2018,henryblowery,The_UnSilent_,2
jeans-for-genes-day,harryguccibr,MrsAnneTwist,2
no-smoking-day-2018,eamroulston,publichealthni,2
carers-week-2018,andie_ellwood,susandlove,2
jeans-for-genes-day,xharrysangelsx,JeansforGenes,1
16-days-of-action-2018,drmjcwarren,ProjShiloh,2
mnd-awareness-month-2018,sharontiday,ron_pictaview,1
jeans-for-genes-day,ieeveleen,BlancheNevile,2
rare-disease-day-2018,nala221b,IHearofSherlock,2
national-dyslexia-week-2018,patriciamunn604,DyslexiaAssist,2
cervical-cancer-prevention-week-2018,ceogoldstandard,CDC_Cancer,2
no-smoking-day-2018,healthtrainers1,HealthTrainers1,1
16-days-of-action-2018,susan56319604,ICRW,2
dementia-action-week-2018,jayniebroughton,RamsdensFamily,2
elf-day,zer0t0l0rance,LitterboxComics,2
brain-injury-week-2018,kateobrien_bbk,SuzanneTrask,1
no-smoking-day-2018,mrstuartcarroll,RBWM,2
jeans-for-genes-day,sarahnajera,MrsAnneTwist,5
epilepsy-awareness-purple-day-2018,mlweldon5,bsyngap,2
wear-purple-for-jia-2018,rheumatologyuk,Ed_Miliband,2
nutrition-and-hydration-week-2018,,SpriggsNutri,2
dementia-action-week-2018,house_memories,knowsleyhousing,2
time-to-talk-day-2018,suzyq228,The_UnSilent_,2
nutrition-and-hydration-week-2018,mynameisandyj,SLHYork,2
mnd-awareness-month-2018,fee_king,GordonAikman,1
wear-purple-for-jia-2018,kernow4corbyn,Ed_Miliband,2
16-days-of-action-2018,mablemuwayi,UN_Women,2
dementia-action-week-2018,whoseshoes,myhomelifecymru,1
ovarian-cancer-awareness-month-2018,quirkyinspired,Nightowlmama,2
epilepsy-awareness-purple-day-2018,coconut10177325,MentorSkywalker,2
mnd-awareness-month-2018,plymcruise,BBCSpotlight,1
16-days-of-action-2018,sarah_pndj,UN_Women,4
ovarian-cancer-awareness-month-2018,nighathussain5,NHSEngland,2
national-dementia-carers-2018,mrjkh90,alzheimerssoc,2
time-to-talk-day-2018,dinascintron,The_UnSilent_,2
elf-day,spendercufc,EddieStobartCom,2
16-days-of-action-2018,fabiolaordorica,UN_Women,2
mental-health-awareness-week-2018,gagacont,ladygaga,2
elf-day,graysophy,NigelTozer,2
dementia-action-week-2018,celesiouk,LloydsPharmacy,1
time-to-talk-day-2018,safersolihull,PTwestmidsTEAM,2
epilepsy-awareness-purple-day-2018,agriconsult,MichaelFitzOCSB,1
jeans-for-genes-day,gillbecgch,BeckfootHead,1
wear-purple-for-jia-2018,angelaespinosa5,NRAS_UK,2
elf-day,alvina91,nickjonas,1
eating-disorder-awareness-week-2018,_rebeccadunne,OneTinyTweet,2
brain-injury-week-2018,seamussaid,_JCBFM,1
brain-injury-week-2018,peterrobinson86,ColesMillerLLP,2
mnd-awareness-month-2018,becinmonton,RunMND,2
jeans-for-genes-day,lorpattinson1,GreenwoodAcad,2
no-smoking-day-2018,thegirlganghq,Rachael_Stray,2
16-days-of-action-2018,marieco92176893,GirlGuidesWA,2
jeans-for-genes-day,ftdtable,MrsAnneTwist,2
elf-day,spirehartswood,alzheimerssoc,1
elf-day,anisha_xx1,VJLoops,2
brain-awareness-week-2018,dechevarria_aza,AndreaaMoraal,2
epilepsy-awareness-purple-day-2018,ndpapc,OntarioNDP,2
jeans-for-genes-day,bmymstake,JeansforGenes,1
experience-of-care-week-2018,punc14julie,clairejukesey,1
brain-injury-week-2018,jackiecdean,RhonddaBryant,1
epilepsy-awareness-purple-day-2018,theboah,MStrilchuk,2
wear-purple-for-jia-2018,diederikdecock,nishanair13,1
time-to-talk-day-2018,letsbroverwatch,jonpartridge,1
national-dementia-carers-2018,anthonyormsbee,teepasnow,1
jeans-for-genes-day,keddy30,Frugi,2
epilepsy-awareness-purple-day-2018,suzukigirl2,Canada,2
16-days-of-action-2018,voices_charity,UniofBath,1
carers-week-2018,thepoemeruk,CarersUK,1
brain-awareness-week-2018,mhall55nine,UoR_LifeScience,1
rare-disease-day-2018,adellapasos,gracescience,1
jeans-for-genes-day,nicolewilson133,JeansforGenes,1
mental-health-awareness-week-2018,jak_knight,LieletteCalleja,1
jeans-for-genes-day,tammyy_x,JeansforGenes,1
time-to-talk-day-2018,musical_ih,ROrchestra,2
nutrition-and-hydration-week-2018,mynameisandyj,Tarrynki,2
mens-health-week-2018,percyl32,TheHPRA,2
